author_id,author_name
709597,nhieu tac gia
7510277,Mộc Qua Hoàng
5283931,Mauro F. Guillén
7291777,Jesse Livermore
12983,Nhóm tác giả
5139,Minh Niệm
7998741,Từ Thính Phong
482225,Phạm Hằng Nguyên
864657, Nguyên Phong
63949,Khương Lệ Bình
215805,Yamamoto Hideyuki
34516,Alex Tu
532619, Kim Kiyosaki
7873467,Steve Kaplan
4107,Nguyễn Nhật Ánh
177689,Fuku Mitsu
271911,Alexandre Jollien
3974,Nguyễn Ngọc Tư
532575, Nguyễn Quốc Tuấn
9878,Laura Ingalls Wilder
25282,Nguyễn Thị Ninh
291483,Janet Mills
17250,Andrea Hirata
170719,Heather Morris
12005,Eran Katz
4271011,Tiến sĩ Shefali Tsabary
7376679,Universe
160705,Masato Takeuchi
5051203,Ha Jong-joon
8192203,Takano Kazuaki
4424,Fukuzawa Yukichi
20319,Từ Quang Á
52430,Alex Ferguson - Michael Moritz
40830,Michel Bussi
371181,Jeannie Levinson
694927,William B. Irvine
4521361,Phan Thị Nga
435363,Goscinny & Sempé
212749,Urako Kanamori
14956,Carolyn Catt
5321,Matt Haig
1214387,Robert S.Kaplan
8183675,Nam Phương
154103,Donna M. Genett
4104543, Nguyễn Quốc Khánh
48870,BS. Lê Thị Hải
8208179,Manu Boisteau
445033,Missy Turner
893381,Lý Tử Quyên
8164585,Atsushi Ohkubo
4063685,Do Ki-sung
12886,Brian L. Weiss
457353,Wakamatsu Aki
746611,Baek Se-Hee
638625,Albert Rutherford
41421,Hoàng Đạo Thúy
232165,Mễ Mông
860929,Eric Ries
48951,Will Durant
5200437,Robert Schwartz
354455,Yasuhiro Kozaki
693869,Anthony William
8203616,Từ Viễn
460157,Mặc Hương Đồng Khứu
153583,Đỗ Ngọc Thống
14640,Nguyễn Ngọc Ký
682453,Adrian Kulp
5375689,Làn
152738,Niccolò Machiavelli
10151,Jostein Gaarder
25436,Vũ Ánh Nguyệt
158777,Hachun Lyonnet
4401433,REED HASTINGS
436183,Jammes G Zumwalt
186259,Zoe McKey
2272635,Arnold G. Nelson
177365,Edward O. Thorp
4522691,Gregg Thompson
707379, TS Nguyễn Thanh Mỹ
16357,Nguyễn Thị Thu Huế
10247,Geshe Michael Roach
886797,Diệp Tiểu Ngư
5179473,Yoo Eun Jung
47935,Thích Thiện Hoa
13036,Thiệu Vĩ Hoa
8204637,GOSSTATION
217399,Melinda Blau
952,Harper Lee
155788,W.Chan Kim
173737,Barbara Oakley
108041,Nguyễn Đình Thi
103388,Joseph Sugarman
13531,Viktor Emil Frankl
8196027,Yuji Horii
505125,Tống Mặc
3971689,Annie Duke
4822349,Chu Vân
7819765,Mục Qua
16485,Mai Lan Hương
4273811,Robin Wells
6264687,T.J.Klune
112962,Manfred Baur
13081,Kuroyanagi Tetsuko
3842,Jeffrey Archer
211811,Hương Đỗ (Mẹ Ong Bông)
143926,Daymond John
532617, John Fleming
7309805,Nguyễn Đoàn Minh Thư
48494,Maurice Maeterlinck
163121,Steven Schuster
143619,Mark Manson
5127,Rhonda Byrne
272,Edward de Bono
5568445,Úc Phức
8065175,Walter Makichen
330521,Kiều Bắc
416395,Kiều Mai Sơn
440639,Thu Giang Nguyễn Duy Cần 
4543575,Hackers
4021939,Kim Geon Oh
936567,Mishima Yomu
8195949,James W. Mclamore
5385915,Youngtak Kim
13835,David J.Pollay
934843,Dr. Tùng Phan
13739,Sơn Tùng
159415,Koga Fumitake
113325,Sophie Hannah
154493,Michael. H. Hugos
4876221,Tạ Quốc Kế
17569,Stephen R. Covey
458257,Thùy Dương
363661,J.K.Rowling
490595,Ian Morris
4289,Tahl Raz
519547,James Clear
280037,Geulbaewoo
13575,Dazai Osamu
149417,Makiko Sato
4545457,Nhiều tác giả
53619,TS. Trần Văn Biên - Ths. Đinh Thế Hưng (đồng chủ biên)
79702,Linh Phan
235193, Vũ Thị Mai Phương
431623,Steve Nison
16381,Austin Kleon
4630685,Shu-Hua Huang
5158735, Vũ Vạn Xuân
212261,Daisuke Furuya
203053,Edogawa Ranpo
8163879,Furuya Nagisa
323279,Ph.D.
17633,Kim Oanh
276355,Vĩ Ngư
6837,Tony Ross
8116883,Ngọc Thủy biên soạn
296,Jules Verne
113830,Saul Singer
19542,Marco Campanella
74283,Ngô Đức Vượng
5092,Hoài Thu
4244713,Nguyễn Thị Xuân Phượng
564509,Andreas Moritz
111829,Lưu Hoằng Trí
7900395,Wladislaw Jachtchenko
8140131,Neil Postman
19331,Sheryl Sandberg
160585,Nguyễn Văn Ninh
211809,Hachun Lyonnet (Hà Chũn)
79605,Marci Shimoff
4771,Phùng Quán
79899,Lauren Groff
301245,Tim Marshall
26874,Adam Grant
149732,Ph.D
626417,Walter Macken
789253,nhieu tac gia
295187,An 
8204769,Dương Yến Nhi (#accnhi)
5229341,Mark Scullard
156673,Mijika
5632865,Bruce Bryans
740147,Yunan
13778,Aoyama Gosho
79690,Rebecca Gilpin
32565,Dương Hương
20955,Thụy Anh
143927,Daniel Paisner
3989747,Kamal Ravikant
4957769,Trương Học Vĩ
33451,HT.Thích Trí Tịnh
18561,Gustave Flaubert
5643139,Rahul Sagar
150784,Patrick King
48690,Ryan Holiday
5283943,Günter Müller-Stewens
176885,Francesc Miralles
175667,Byron Katie
15177,Thu Giang Nguyễn Duy Cần
689081,Thái Phạm
244813,Frederic Laloux
5362,Chung Ju Yung
7357283,Cấn Mạnh Linh
165891,ThS Phan Hoàng Văn
4820385,Ngô Sa Thạch
431065,Mark Douglas
19881,Neil Rackham
700925,Delia Owens
4676101,Hà Vĩnh Thọ
8116167,Shannon Kaiser
10085,Umberto Eco
14879,Daniel Kahneman
4295107,Fuse
4630559,Trương Nghĩa Văn
19001,Maria Konnikova
52301,Oprah Winfrey
34405,Tanith Carey
21877,Yoshiki Nakamura
4957775,Từ Hảo
364603,Victo Hugo
13033,Roger Bridgman
116,Jim Collins
854587,David R.Hawkins
113662,Peg Dawson
865749,GEORGE SAMUEL CLASON
79888,Yuval Noah Harari
4509623,Jenny Kiều
542889,Giác Minh Luật
143602,Hoàng Thị Ngọc Tú
733533,Marc Lesser
3634,Peter Lynch
5229343,Emma Wilhelm
5497,Linda Ross
4225365,Tatsuya Endo
