author_id,product_id
7841969,272000031
46005,207217794
187039,56609155
8204130,271144221
1679,189572586
5259837,271191615
4289063,171825201
27858,145093424
612035,42180465
4545457,271121224
4519065,77900454
215387,155200611
542889,252770233
10085,202895294
15177,90866359
4406,270883268
20195,109310241
7987489,207035134
46673,39376972
4374,50072452
762,130230758
7863861,201296288
4424,94173458
20136,113583126
13824,1021663
10760,262590464
223833,102629318
4675221,137440037
5314,10005245
529369,141333746
176885,171212880
8199806,270167957
52523,271253938
740147,135754577
13992,66619715
632919,45321594
4971855,207345031
212257,272122633
702717,271781005
16216,129381090
562575,90985718
143602,242091372
4002661,251772507
21005,139979522
110737,147920905
12005,8848897
416293,16082945
8177117,252044628
3971445,67991602
53811,83162438
144407,168293266
25919,49716241
74621,94173462
27261,195545304
181,155463014
5314025,153260958
4043,11954630
904,1565657
12361,67271338
4545457,207752597
32762,113530805
24766,66712456
74621,84950232
175225,27971953
860929,90056907
47628,262454634
9098,192333236
25436,400661
143926,58810062
168005,263336471
7865185,201580268
31543,95220863
3840,187827003
8142011,230009473
26683,5852521
114705,56322083
50476,114579052
164739,74341297
184851,87941401
14170,168662558
113662,190238356
5513445,165038798
16485,161245852
3828773,58342212
79899,117595545
829689,52399985
5283939,146988857
5338645,154245455
13992,8835159
5127,204416863
8103647,215123449
13029,77122341
17250,52788072
542889,253194702
3840,4313653
3840,251756016
7845409,200780124
8199808,270167959
12983,267179131
51354,157432544
272,48513049
9173,184878608
8191705,262477186
212257,271537822
5138,809630
229,32219488
4289061,171825201
568119,36854641
235193,10271803
186,194960744
207707,114810999
638625,46240929
52436,203231461
5527981,207035134
8202247,270822072
47935,67056045
41328,174182702
46673,100384412
212749,4080373
12886,71090268
844231,55286404
4043,420655
789253,147019161
707379,271398365
10555,135552451
5362,147999778
15010,13624088
8176965,252011890
143615,24263975
548517,35191885
45726,196517620
4427157,75630595
5139,42230121
7142,55119185
26178,4182557
152332,136340700
437741,160997378
146021,142003604
3633,91625816
111399,584048
7821783,198644535
710531,50751279
545945,269947013
3673,140360874
8074481,212356652
3634,91625816
8204937,271542024
163121,52584834
